CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
KOTA JAMBI,1571,51.25,18.16,15.12,17.17,3.44,21.5,32.16
SUNGAI PENUH,1572,79.1,6.27,10.44,5.49,0.71,7.23,15.96
OGAN KOMERING ULU,1601,43.66,20.25,28.23,6.98,6.36,26.87,35.24
OGAN KOMERING ILIR,1602,38.24,23.56,33.38,6.6,4.33,28.03,39.6
MUARA ENIM,1603,36.36,23.77,30.96,5.96,8.49,32.14,36.78
LAHAT,1604,49.42,30.45,13.56,5.71,6.96,36.9,19.12
MUSI RAWAS,1605,53.14,26.61,18.55,6.79,1.21,27.08,25.4
MUSI BANYUASIN,1606,54.07,27.07,17.19,4.52,3.6,30.1,21.88
BANYU ASIN,1607,40.91,24.55,17.25,16.26,6.8,31.05,33.18
OGAN KOMERING ULU SELATAN,1608,51.84,9.48,39.38,4.55,0.81,10.66,43.37
OGAN KOMERING ULU TIMUR,1609,31.74,20.05,43.38,9.64,1.27,21.17,51.99
OGAN ILIR,1610,35.07,27.1,23.86,8.19,12.89,40.09,31.35
EMPAT LAWANG,1611,54.55,28.65,16.87,2.85,2.97,31.19,19.15
PENUKAL ABAB LEMATANG ILIR,1612,67.31,21.45,11.13,3.88,1.74,23.96,15.09
MUSI RAWAS UTARA,1613,67.4,11.68,23.67,3.58,1.11,12.35,26.59
KOTA PALEMBANG,1671,40.02,25.71,14.03,17.57,8.45,33.73,31.24
KOTA PRABUMULIH,1672,39.88,29.89,11.69,11.96,11.19,41.4,23.94
KOTA PAGAR ALAM,1673,51.43,23.95,18.29,11.11,2.32,25.9,28.4
KOTA LUBUKLINGGAU,1674,53.86,26.08,12.2,12.39,1.79,27.49,24.46
BENGKULU SELATAN,1701,65.66,7.79,21.25,9.35,0.65,8.44,29.97
REJANG LEBONG,1702,43.6,26.54,24.25,10.11,0.77,27.24,34.53
BENGKULU UTARA,1703,70.36,9.15,21.74,1.68,0.75,10.1,23.33
KAUR,1704,75.18,9.99,17.66,2.79,1.03,10.83,19.97
SELUMA,1705,60.03,19.64,18.7,7.25,0.83,20.08,25.59
MUKOMUKO,1706,75.07,7.18,16.88,3.85,0.82,7.75,20.59
LEBONG,1707,69.65,7.03,24.35,1.69,0.76,7.87,25.61
KEPAHIANG,1708,61.39,23.88,14.35,3.37,0.54,24.76,17.23
BENGKULU TENGAH,1709,62.62,22.87,15.73,5.04,0.43,23.2,20.69
KOTA BENGKULU,1771,51.81,18.7,19.48,14.6,0.61,19.19,33.84
LAMPUNG BARAT,1801,37.92,24.77,37.33,3.92,1.11,25.85,40.97
TANGGAMUS,1802,43.2,28.49,23.7,7.96,1.27,29.53,31.22
LAMPUNG SELATAN,1803,24.24,27.76,30.47,17.53,5.5,32.99,47.6
LAMPUNG TIMUR,1804,32.06,25.05,30.59,5.81,10.55,35.18,36.27
LAMPUNG TENGAH,1805,27.81,29.52,32.45,7.81,6.98,36.26,40.2
LAMPUNG UTARA,1806,29.71,33.71,26.36,12.65,3.44,37.08,38.21
WAY KANAN,1807,37.08,21.48,39.89,4.87,2.35,22.94,44.44
TULANGBAWANG,1808,54.17,16.41,29.27,2.72,2.42,19.31,32.16
PESAWARAN,1809,30.06,28.21,24.18,9.82,12.95,40.02,33.95
PRINGSEWU,1810,30.05,21.68,31.75,9.39,11.87,33.2,41.13
MESUJI,1811,57.38,7.55,30.58,6.47,2.21,9.57,38.7
TULANG BAWANG BARAT,1812,44.89,22.77,30.74,3.74,1.86,24.57,35.14
PESISIR BARAT,1813,55.39,13.9,28.32,7.75,1.51,15.12,35.47
KOTA BANDAR LAMPUNG,1871,33.23,20.68,24.44,21.5,5.13,25.55,45.54
KOTA METRO,1872,31.67,21.37,26.35,16.61,9.01,29.86,42.32
BANGKA,1901,44.77,36.85,14.2,5.03,3.07,40.06,18.83
BELITUNG,1902,37.68,57.61,4.47,1.39,0.79,58.52,5.97
BANGKA BARAT,1903,54.28,29.07,15.04,3.17,3.4,32.13,17.65
BANGKA TENGAH,1904,41.64,44.36,12.07,3.63,2.54,46.34,15.55
BANGKA SELATAN,1905,41.89,49.36,6.17,2.84,3.3,52.26,9.12
BELITUNG TIMUR,1906,64.31,33.16,3.41,0.69,0.75,34.16,4.2
KOTA PANGKALPINANG,1971,44.64,34.36,13.92,6.73,4.72,38.93,20.7
KARIMUN,2101,70.66,14.24,9,3.54,1.76,16.23,12.6
BINTAN,2102,52.59,38.45,6.28,4.21,1.48,39.54,10.75
NATUNA,2103,76.35,15.68,3.2,1.01,6.22,21.74,4.09
LINGGA,2104,73.81,17.99,7.25,1.3,0.77,19.59,8.64
KEPULAUAN ANAMBAS,2105,91.43,2.51,1.16,0,6.89,8.05,1.74
KOTA BATAM,2171,59.76,17.54,11.7,11.94,2.18,19.71,23.43
KOTA TANJUNG PINANG,2172,60.38,29.52,6.34,5.64,1.21,30.6,11.93
KEPULAUAN SERIBU,3101,31.98,16.37,46.46,4.75,2.56,18.85,51.81
JAKARTA SELATAN,3171,38.22,19.85,28.85,12.63,5,24.75,41.05
JAKARTA TIMUR,3172,37.14,18.53,26.98,14.98,6.91,25.26,41.49
JAKARTA PUSAT,3173,35.18,19.26,28.84,12.66,8.08,27.05,41.06
JAKARTA BARAT,3174,35.96,19.37,27.68,14.31,6.9,26,41.54
JAKARTA UTARA,3175,32.66,20.67,28.96,13.78,7.77,28.23,42.34
BOGOR,3201,23.12,21.82,36.52,15.67,7.26,28.85,51.6
SUKABUMI,3202,14.97,20.79,58.67,6.51,3.38,24.06,64.79
CIANJUR,3203,18.13,35.67,42.1,6.32,2.47,38.06,48
BANDUNG,3204,31.74,33.75,17.28,13.5,8.73,42.04,30.52
GARUT,3205,35.21,30.18,15.56,17.64,6.97,37,32.9
TASIKMALAYA,3206,50.67,22.29,19.33,8.09,3.45,25.75,27.42
CIAMIS,3207,46.21,24.15,20.47,8.87,5.13,28.95,29.05
KUNINGAN,3208,27.59,29.36,25.66,18.98,2.6,32.09,44.19
CIREBON,3209,27.3,37.47,11.5,20.26,7.08,44.36,31.47
MAJALENGKA,3210,36.7,28.08,22.28,12.79,4.3,32.33,34.75
SUMEDANG,3211,39.12,29.16,19.3,10.64,6.87,35.83,29.62
INDRAMAYU,3212,27.35,47.01,9.96,15.08,2.74,49.59,24.96
SUBANG,3213,35.54,42.15,12.13,10.38,3.34,45.4,22.52
PURWAKARTA,3214,19.96,50.99,18.47,11.25,3.54,54.44,29.43
KARAWANG,3215,20.03,23.94,40.61,15.34,4.31,28.11,55.49
BEKASI,3216,29.99,17.64,31.83,16.28,8.59,26.02,47.47
BANDUNG BARAT,3217,26.16,37.95,21.92,11.71,6.75,44.33,33.38
PANGANDARAN,3218,59.68,15.32,21.19,3.48,4.38,19.62,24.56
KOTA BOGOR,3271,21.34,19.83,36.84,19.08,7.28,27.13,55.31
KOTA SUKABUMI,3272,16.74,22.21,52.32,10.48,2.8,25.51,62.03
KOTA BANDUNG,3273,34.45,27.08,17.51,17.73,8.18,34.83,34.95
KOTA CIREBON,3274,32.48,27.41,10.95,25.36,8.65,35.48,35.78
KOTA BEKASI,3275,32.3,18.03,27.79,19.59,7.02,24.92,46.76
KOTA DEPOK,3276,31.39,20.23,25.53,19.45,7.57,27.62,44.6
KOTA CIMAHI,3277,32.66,24.23,19.49,19.34,8.31,32.1,38.51
KOTA TASIKMALAYA,3278,41.95,28.07,18.86,12.3,3.39,31.25,31.15
KOTA BANJAR,3279,37.03,24.49,19.27,18.14,5.76,31.08,36.53
CILACAP,3301,25.06,17.98,26.02,10.33,24.73,42.09,36.02
